,,,,,,,,
Sl. no.,Date,Adaptation Clinic Name,Village,Union,Problems Found (if any),Advice/ solution given,Point of Service,"Remarks 
(Next Follow up) "
203,28/04/2024,Nilganj Adaptation Clinic,Sayedpur,Nilganj,Cladosporium leaf spot of spinac,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals.",Mobile Adaptation Clinic,12-05-2024
204,28/04/2024,Nilganj Adaptation Clinic,Sayedpur,Nilganj,Cladosporium leaf spot of spinac,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals.",Mobile Adaptation Clinic,12-05-2024
205,28/04/2024,Nilganj Adaptation Clinic,Sayedpur,Nilganj,Cladosporium leaf spot of spinac,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals.",Mobile Adaptation Clinic,12-05-2024
206,28/04/2024,Nilganj Adaptation Clinic,Sayedpur,Nilganj,Brinjal fruit and shoot borer,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.,Mobile Adaptation Clinic,12-05-2024
207,28/04/2024,Nilganj Adaptation Clinic,Sayedpur,Nilganj,Brinjal fruit and shoot borer,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.,Mobile Adaptation Clinic,12-05-2024
208,28/04/2024,Nilganj Adaptation Clinic,Sayedpur,Nilganj,Brinjal fruit and shoot borer,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.,Mobile Adaptation Clinic,12-05-2024
209,28/04/2024,Nilganj Adaptation Clinic,Sayedpur,Nilganj,Brinjal fruit and shoot borer,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.,Mobile Adaptation Clinic,12-05-2024
210,28/04/2024,Nilganj Adaptation Clinic,Sayedpur,Nilganj,Brinjal fruit and shoot borer,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.,Mobile Adaptation Clinic,12-05-2024
211,28/04/2024,Nilganj Adaptation Clinic,Sayedpur,Nilganj,Brinjal fruit and shoot borer,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.,Mobile Adaptation Clinic,12-05-2024
212,28/04/2024,Nilganj Adaptation Clinic,Sayedpur,Nilganj,Brinjal fruit and shoot borer,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.,Mobile Adaptation Clinic,12-05-2024
213,28/04/2024,Nilganj Adaptation Clinic,Sayedpur,Nilganj,Brinjal fruit and shoot borer,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.,Mobile Adaptation Clinic,12-05-2024
214,28/04/2024,Nilganj Adaptation Clinic,Sayedpur,Nilganj,Brinjal fruit and shoot borer,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.,Mobile Adaptation Clinic,12-05-2024
215,28/04/2024,Nilganj Adaptation Clinic,Sayedpur,Nilganj,leaf miner of yeard long bean,Spray cypermethrin group pesticide in 1gm/l water at afternoon,Mobile Adaptation Clinic,12-05-2024
216,28/04/2024,Nilganj Adaptation Clinic,Sayedpur,Nilganj,leaf miner of yeard long bean,Spray cypermethrin group pesticide in 1gm/l water at afternoon,Mobile Adaptation Clinic,12-05-2024
217,28/04/2024,Nilganj Adaptation Clinic,Sayedpur,Nilganj,leaf miner of yeard long bean,Spray cypermethrin group pesticide in 1gm/l water at afternoon,Mobile Adaptation Clinic,12-05-2024
218,28/04/2024,Nilganj Adaptation Clinic,Sayedpur,Nilganj,leaf miner of yeard long bean,Spray cypermethrin group pesticide in 1gm/l water at afternoon,Mobile Adaptation Clinic,12-05-2024
219,28/04/2024,Nilganj Adaptation Clinic,Sayedpur,Nilganj,leaf miner of yeard long bean,Spray cypermethrin group pesticide in 1gm/l water at afternoon,Mobile Adaptation Clinic,12-05-2024
220,28/04/2024,Nilganj Adaptation Clinic,Sayedpur,Nilganj,leaf miner of yeard long bean,Spray cypermethrin group pesticide in 1gm/l water at afternoon,Mobile Adaptation Clinic,12-05-2024
221,28/04/2024,Nilganj Adaptation Clinic,Hajipur,Nilganj,leaf miner of yeard long bean,Spray cypermethrin group pesticide in 1gm/l water at afternoon,Mobile Adaptation Clinic,12-05-2024
222,28/04/2024,Nilganj Adaptation Clinic,Sayedpur,Nilganj,leaf miner of yeard long bean,Spray cypermethrin group pesticide in 1gm/l water at afternoon,Mobile Adaptation Clinic,12-05-2024
223,28/04/2024,Nilganj Adaptation Clinic,Sayedpur,Nilganj,leaf miner of yeard long bean,Spray cypermethrin group pesticide in 1gm/l water at afternoon,Mobile Adaptation Clinic,12-05-2024
224,28.4.24,Nilganj Adaptation Clinic,Uttra Doulatpur,Nilganj,-,Cut the sunflower when the yellow petals fall off and oilseeds are hard,Farmers Field,9.5.24
225,28.4.24,Nilganj Adaptation Clinic,East Doulatpur,Nilganj,-,Cut the sunflower when the yellow petals fall off and oilseeds are hard,Farmers Field,9.5.24
226,28.4.24,Nilganj Adaptation Clinic,East Doulatpur,Nilganj,-,Cut the sunflower when the yellow petals fall off and oilseeds are hard,Farmers Field,9.5.24
227,30/04/2024,Nilganj Adaptation Clinic,Purbo Sonatola,Nilganj,Seedling Preparation,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully.",Adaptation Clinic,12-05-2024
228,30/04/2024,Nilganj Adaptation Clinic,Haldibaria,Nilganj,Seedling Preparation,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully.",Adaptation Clinic,12-05-2024
229,30/04/2024,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Seedling Preparation,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully.",Adaptation Clinic,12-05-2024
230,30/04/2024,Nilganj Adaptation Clinic,Goiatola,Nilganj,Seedling Preparation,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully.",Adaptation Clinic,12-05-2024
231,05-05-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Cladosporium leaf spot of spinac,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals.",Mobile Adaptation Clinic,
232,05-05-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Cladosporium leaf spot of spinac,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals.",Mobile Adaptation Clinic,
233,05-05-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Cladosporium leaf spot of spinac,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals.",Mobile Adaptation Clinic,
234,05-05-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Cladosporium leaf spot of spinac,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals.",Mobile Adaptation Clinic,
235,05-05-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Stem Rot of Nut,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.,Mobile Adaptation Clinic,
236,05-05-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Stem Rot of Nut,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.,Mobile Adaptation Clinic,
237,05-05-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Stem Rot of Nut,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.,Mobile Adaptation Clinic,
238,05-05-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Stem Rot of Nut,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.,Mobile Adaptation Clinic,
239,05-05-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Stem Rot of Nut,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.,Mobile Adaptation Clinic,
240,05-05-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Stem Rot of Nut,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.,Mobile Adaptation Clinic,
241,05-05-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Stem Rot of Nut,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.,Mobile Adaptation Clinic,
242,05-05-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Stem Rot of Nut,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.,Mobile Adaptation Clinic,
243,05-05-2024,Nilganj Adaptation Clinic,Adampur,Nilganj,-,"To prepare bed in sorjan system, the beds must be wide and drainage system must be ensured",Farmers Field,19.5.24
244,05-05-2024,Nilganj Adaptation Clinic,Adampur,Nilganj,-,"In bed preparetion, usage of MOP and Gypsum fertilizer need to be ensured",Farmers Field,19.5.24
245,06-05-2024,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Leaf Curl of Chili,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.,Adaptation Clinic,
246,06-05-2024,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Leaf Curl of Chili,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.,Adaptation Clinic,
247,06-05-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Leaf Curl of Chili,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.,Adaptation Clinic,
248,06-05-2024,Nilganj Adaptation Clinic,Adampur,Nilganj,Leaf Curl of Chili,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.,Adaptation Clinic,
249,06-05-2024,Nilganj Adaptation Clinic,Fatehpur,Nilganj,-,"To target Kharif-1 season, land selection for bed preparation needs to be initiated",Farmers Field,19.5.24
250,06-05-2024,Nilganj Adaptation Clinic,Fatehpur,Nilganj,-,"To target Kharif-1 season, land selection for bed preparation needs to be initiated",Farmers Field,19.5.24
251,06-05-2024,Nilganj Adaptation Clinic,Fatehpur,Nilganj,-,Rippen cobes need to be collected and should be stored after sun dry,Farmers Field,20.5.24
252,06-05-2024,Nilganj Adaptation Clinic,Khalilpur,Nilganj,Leaf Curl of Chili,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.,Adaptation Clinic,
253,07-05-2024,Nilganj Adaptation Clinic,Nababganj,Nilganj,-,Half of the vermicompost plant mut be filled with dry cowdung,Farmers Field,20.5.24
254,07-05-2024,Nilganj Adaptation Clinic,Rahmatpur,Nilganj,-,"To target Kharif-1 season, land selection for bed preparation needs to be initiated",Farmers Field,20.5.24
255,07-05-2024,Nilganj Adaptation Clinic,Rahmatpur,Nilganj,-,"To target Kharif-1 season, land selection for bed preparation needs to be initiated",Farmers Field,21.5.24
256,08-05-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Seedling Preparation,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully.",Mobile Adaptation Clinic,
257,08-05-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Seedling Preparation,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully.",Mobile Adaptation Clinic,
258,08-05-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Seedling Preparation,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully.",Mobile Adaptation Clinic,
259,08-05-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Seedling Preparation,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully.",Mobile Adaptation Clinic,
260,08-05-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Seedling Preparation,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully.",Mobile Adaptation Clinic,
261,08-05-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Seedling Preparation,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully.",Mobile Adaptation Clinic,
262,08-05-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Seedling Preparation,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully.",Mobile Adaptation Clinic,
263,08-05-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Seedling Preparation,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully.",Mobile Adaptation Clinic,
264,08-05-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Seedling Preparation,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully.",Mobile Adaptation Clinic,
265,08-05-2024,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Seedling Preparation,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully.",Mobile Adaptation Clinic,
266,09-05-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Seedling Preparation,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully.",Farmers Field,
267,09-05-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Seedling Preparation,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully.",Farmers Field,
268,09-05-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Seedling Preparation,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully.",Farmers Field,
269,09-05-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Seedling Preparation,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully.",Farmers Field,
270,09-05-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Seedling Preparation,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully.",Farmers Field,
271,09-05-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Seedling Preparation,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully.",Farmers Field,
272,13.5.24,Nilganj Adaptation Clinic,Tungibaria,Nilganj,-,"To target Kharif-1 season, land selection for bed preparation needs to be initiated",Farmers Field,29.5.24
273,13.5.24,Nilganj Adaptation Clinic,Mokimpur,Nilganj,-,"Water level should be at least 3 feet, if possible water needs to be stored",Farmers Field,29.5.24
274,14.5.24,Nilganj Adaptation Clinic,Dokkhin Doulatpur,Nilganj,-,Half of the vermicompost plant mut be filled with dry cowdung after cleaning the plant,Farmers Field,29.5.24
275,14.5.24,Nilganj Adaptation Clinic,Dokkhin Doulatpur,Nilganj,-,"To target Kharif-1 season, land selection for bed preparation needs to be initiated",Farmers Field,29.5.24
276,19.5.24,Nilganj Adaptation Clinic,Fatehpur,Nilganj,-,Routine irrigation must be ensured,Farmers Field,2.6.24
277,19.5.24,Nilganj Adaptation Clinic,Fatehpur,Nilganj,-,Straw mulching needs to be implemented,Farmers Field,2.6.24
278,20.5.24,Nilganj Adaptation Clinic,Pakhimara,Nilganj,-,Weeds should be cleaned off the vegetable bed,Farmers Field,4.6.24
279,28.5.24,Nilganj Adaptation Clinic,Rosnabad,Nilganj,-,Bed must be raised and should be cleaned,Farmers Field,6.6.24
280,28.5.24,Nilganj Adaptation Clinic,Rosnabad,Nilganj,-,Stagnant water should be released from the top of vegetable beds,Farmers Field,6.6.24
281,30-05-2024,Nilganj Adaptation Clinic,Nijkata,Nilganj,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon.",Mobile Adaptation Clinic,12-06-2024
282,30-05-2024,Nilganj Adaptation Clinic,Nijkata,Nilganj,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon.",Mobile Adaptation Clinic,12-06-2024
283,30-05-2024,Nilganj Adaptation Clinic,Nijkata,Nilganj,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon.",Mobile Adaptation Clinic,12-06-2024
284,30-05-2024,Nilganj Adaptation Clinic,Nijkata,Nilganj,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon.",Mobile Adaptation Clinic,12-06-2024
285,30-05-2024,Nilganj Adaptation Clinic,Nijkata,Nilganj,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon.",Mobile Adaptation Clinic,12-06-2024
286,30-05-2024,Nilganj Adaptation Clinic,Nijkata,Nilganj,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon.",Mobile Adaptation Clinic,12-06-2024
287,30-05-2024,Nilganj Adaptation Clinic,Nijkata,Nilganj,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon.",Mobile Adaptation Clinic,12-06-2024
288,30-05-2024,Nilganj Adaptation Clinic,Nijkata,Nilganj,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon.",Mobile Adaptation Clinic,12-06-2024
289,30-05-2024,Nilganj Adaptation Clinic,Nijkata,Nilganj,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon.",Mobile Adaptation Clinic,12-06-2024
290,30-05-2024,Nilganj Adaptation Clinic,Nijkata,Nilganj,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon.",Mobile Adaptation Clinic,12-06-2024
291,30-05-2024,Nilganj Adaptation Clinic,Nijkata,Nilganj,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon.",Mobile Adaptation Clinic,12-06-2024
292,30-05-2024,Nilganj Adaptation Clinic,Nijkata,Nilganj,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon.",Mobile Adaptation Clinic,12-06-2024
293,30-05-2024,Nilganj Adaptation Clinic,Nijkata,Nilganj,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon.",Mobile Adaptation Clinic,12-06-2024
294,30-05-2024,Nilganj Adaptation Clinic,Nijkata,Nilganj,What measures should be taken for vegetables after a heavy cyclone?,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon.",Mobile Adaptation Clinic,12-06-2024
295,02-06-2024,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system,Farmers Field,19-06-2024
296,02-06-2024,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system,Farmers Field,19-06-2024
297,02-06-2024,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system,Farmers Field,19-06-2024
298,02-06-2024,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system,Farmers Field,19-06-2024
299,02-06-2024,Nilganj Adaptation Clinic,Adampur,Nilganj,-,Weeds should be cleaned off the vegetable bed,Farmers Field,26.6.24
300,02-06-2024,Nilganj Adaptation Clinic,Adampur,Nilganj,-,GI wire must be installed in vegetable trellis,Farmers Field,26.6.24
301,04-06-2024,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Fungal attack of cucumber,Carbendazim group fungicide should be sprayed according to machine rate,Farmers Field,26.6.24
302,04-06-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system,Mobile Adaptation Clinic,23-06-2024
303,04-06-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system,Mobile Adaptation Clinic,23-06-2024
304,04-06-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system,Mobile Adaptation Clinic,23-06-2024
305,04-06-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system,Mobile Adaptation Clinic,23-06-2024
306,04-06-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system,Mobile Adaptation Clinic,23-06-2024
307,04-06-2024,Nilganj Adaptation Clinic,Amirabad,Nilganj,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system,Mobile Adaptation Clinic,23-06-2024
308,09-06-2024,Nilganj Adaptation Clinic,Goiatola,Nilganj,Downy Mildew of Bitter gourd,1. Severe affected plants should be removed and destroyed.                      2. Spraying Mancozeb 2g/lit twice at 10 days interval.,Farmers Field,24-06-2024
309,09-06-2024,Nilganj Adaptation Clinic,Goiatola,Nilganj,Downy Mildew of Bitter gourd,1. Severe affected plants should be removed and destroyed.                      2. Spraying Mancozeb 2g/lit twice at 10 days interval.,Farmers Field,24-06-2024
310,09-06-2024,Nilganj Adaptation Clinic,Goiatola,Nilganj,Downy Mildew of Bitter gourd,1. Severe affected plants should be removed and destroyed.                      2. Spraying Mancozeb 2g/lit twice at 10 days interval.,Farmers Field,24-06-2024
311,09-06-2024,Nilganj Adaptation Clinic,Goiatola,Nilganj,Downy Mildew of Bitter gourd,1. Severe affected plants should be removed and destroyed.                      2. Spraying Mancozeb 2g/lit twice at 10 days interval.,Farmers Field,24-06-2024
312,09-06-2024,Nilganj Adaptation Clinic,Goiatola,Nilganj,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system,Mobile Adaptation Clinic,24-06-2024
313,09-06-2024,Nilganj Adaptation Clinic,Goiatola,Nilganj,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system,Mobile Adaptation Clinic,24-06-2024
314,09-06-2024,Nilganj Adaptation Clinic,Goiatola,Nilganj,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system,Mobile Adaptation Clinic,24-06-2024
315,09-06-2024,Nilganj Adaptation Clinic,Goiatola,Nilganj,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system,Mobile Adaptation Clinic,24-06-2024
