123456789
,,,,,,,,
Sl. no.,Date,Adaptation Clinic Name,Village,Union,Problems Found (if any),Advice/ solution given,Point of Service,"Remarks 
(Next Follow up) "
121,02.12.24,Rampal,Gobindapur,Uzalkur,Bottle gourd attack White fly/ Red pumpkin beetle & Fruit rot.,1.Yellow sticky trap use 2-3/Decimal.2.Emamectin group Insecticide 1gm /1li of water mix & spray.3.Hand / Cross pollination.,Mobile Clinic,05.01.25-  Started working as advised
122,02.12.24,Rampal,Gobindapur,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,05.01.25-  Started working as advised
123,02.12.24,Rampal,Gobindapur,Uzalkur,Bitter Gourd leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,05.01.25-  Started working as advised
124,02.12.24,Rampal,Gobindapur,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,05.01.25-  Started working as advised
125,02.12.24,Rampal,Gobindapur,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,05.01.25-  Started working as advised
126,02.12.24,Rampal,Gobindapur,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,05.01.25-  Started working as advised
127,02.12.24,Rampal,Gobindapur,Uzalkur,Bitter Gourd leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,05.01.25-  Started working as advised
128,02.12.24,Rampal,Gobindapur,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,05.01.25-  Started working as advised
129,02.12.24,Rampal,Gobindapur,Uzalkur,Chilli Sapling Managment & Transplanting Advice.,1. Use Sticky trap 2-3 / Per decimal.2. Mancozeb + Metalaxyl 2gm/1 li of water mix &  Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,05.01.25-  Started working as advised
130,02.12.24,Rampal,Gobindapur,Uzalkur,Bitter gourd leaf attack White fly/ Aphid .,1.Yellow sticky trap use 2-3 / Decimal.2. Imidacloroprid 1ml/ 1 li of water mix & spray leaf up and down portion.,Mobile Clinic,05.01.25-  Started working as advised
131,02.12.24,Rampal,Gobindapur,Uzalkur,Chilli leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,05.01.25-  Started working as advised
132,02.12.24,Rampal,Gobindapur,Uzalkur,Tomato leaf Fungal infection & Red mite/White fly attack,1. Use Sticky trap 2-3 / Per decimal.2. Mancozeb + Metalaxyl 2gm/1 li of water mix &  Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,05.01.25-  Started working as advised
133,02.12.24,Rampal,Gobindapur,Uzalkur,Bottle gourd attack White fly/ Red pumpkin beetle & Fruit rot.,1.Yellow sticky trap use 2-3/Decimal.2.Emamectin group Insecticide 1gm /1li of water mix & spray.3.Hand / Cross pollination.,Mobile Clinic,05.01.25-  Started working as advised
134,02.12.24,Rampal,Gobindapur,Uzalkur,Bottle gourd attack White fly/ Red pumpkin beetle & Fruit rot.,1.Yellow sticky trap use 2-3/Decimal.2.Emamectin group Insecticide 1gm /1li of water mix & spray.3.Hand / Cross pollination.,Mobile Clinic,05.01.25-  Started working as advised
135,02.12.24,Rampal,Gobindapur,Uzalkur,Bottle gourd attack White fly/ Red pumpkin beetle & Fruit rot.,1.Yellow sticky trap use 2-3/Decimal.2.Emamectin group Insecticide 1gm /1li of water mix & spray.3.Hand / Cross pollination.,Mobile Clinic,05.01.25-  Started working as advised
136,02.12.24,Rampal,Gobindapur,Uzalkur,Bottle gourd attack White fly/ Red pumpkin beetle & Fruit rot.,1.Yellow sticky trap use 2-3/Decimal.2.Emamectin group Insecticide 1gm /1li of water mix & spray.3.Hand / Cross pollination.,Mobile Clinic,05.01.25-  Started working as advised
137,02.12.24,Rampal,Gobindapur,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,05.01.25-  Started working as advised
138,02.12.24,Rampal,Gobindapur,Uzalkur,Bitter Gourd leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,05.01.25-  Started working as advised
139,02.12.24,Rampal,Gobindapur,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,05.01.25-  Started working as advised
140,02.12.24,Rampal,Gobindapur,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,05.01.25-  Started working as advised
141,02.12.24,Rampal,Gobindapur,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,05.01.25-  Started working as advised
142,02.12.24,Rampal,Gobindapur,Uzalkur,Bitter Gourd leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,05.01.25-  Started working as advised
143,02.12.24,Rampal,Gobindapur,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,05.01.25-  Started working as advised
144,08.12.24,Rampal,Dhaldah,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,05.01.25-  Started working as advised
145,08.12.24,Rampal,Varashapur,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,05.01.25-  Started working as advised
146,09.12.24,Rampal,Kadamdi,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,05.01.25-  Started working as advised
147,06.01.2025,Rampal,Gobindapur,Uzalkur,Tomato leaf Curl,Imidachloprid+ Abamectin @ 2ml/L (1+7+14 days interval),Mobile Clinic,12.01.25-  Started working as advised
148,06.01.2025,Rampal,Gobindapur,Uzalkur,Tomato leaf Curl,Imidachloprid+ Abamectin @ 2ml/L (1+7+14 days interval),Mobile Clinic,12.01.25-  Started working as advised
149,06.01.2025,Rampal,Gobindapur,Uzalkur,Tomato leaf Curl,Imidachloprid+ Abamectin @ 2ml/L (1+7+14 days interval),Mobile Clinic,12.01.25-  Started working as advised
150,06.01.2025,Rampal,Gobindapur,Uzalkur,Tomato leaf Curl,Imidachloprid+ Abamectin @ 2ml/L (1+7+14 days interval),Mobile Clinic,12.01.25-  Started working as advised
151,06.01.2025,Rampal,Gobindapur,Uzalkur,Tomato leaf Curl,Imidachloprid+ Abamectin @ 2ml/L (1+7+14 days interval),Mobile Clinic,12.01.25-  Started working as advised
152,026.01.2025,Rampal,Gobindapur,Uzalkur,"Tomato, Chili, Bottle gourd Root & shoot rot",Mancozeb+ Metalexil @ 2ml/L,Mobile Clinic,12.01.25-  Started working as advised
153,06.01.2025,Rampal,Gobindapur,Uzalkur,"Tomato, Chili, Bottle gourd Root & shoot rot",Mancozeb+ Metalexil @ 2ml/L,Mobile Clinic,12.01.25-  Started working as advised
154,06.02.25,Rampal,Gobindapur,Uzalkur,"Tomato, Chili, Bottle gourd Root & shoot rot",Mancozeb+ Metalexil @ 2ml/L,Mobile Clinic,12.01.25-  Started working as advised
155,06.01.25,Rampal,Gobindapur,Uzalkur,"Tomato, Chili, Bottle gourd Root & shoot rot",Mancozeb+ Metalexil @ 2ml/L,Mobile Clinic,12.01.25-  Started working as advised
156,06.01.25,Rampal,Gobindapur,Uzalkur,"Tomato, Chili, Bottle gourd Root & shoot rot",Mancozeb+ Metalexil @ 2ml/L,Mobile Clinic,12.01.25-  Started working as advised
157,06.01.25,Rampal,Gobindapur,Uzalkur,"Tomato, Chili, Bottle gourd Root & shoot rot",Mancozeb+ Metalexil @ 2ml/L,Mobile Clinic,12.01.25-  Started working as advised
158,06.01.25,Rampal,Gobindapur,Uzalkur,"Bottle gourd, Botter gourd Fruit borer",Sex pheromone Trap 1 pc/ 2 decimal or Cypermethrin+ Chloropyriphos @ 2ml/L,Mobile Clinic,12.01.25-  Started working as advised
159,06.01.25,Rampal,Gobindapur,Uzalkur,"Bottle gourd, Botter gourd Fruit borer",Sex pheromone Trap 1 pc/ 2 decimal or Cypermethrin+ Chloropyriphos @ 2ml/L,Mobile Clinic,12.01.25-  Started working as advised
160,06.01.25,Rampal,Gobindapur,Uzalkur,"Bottle gourd, Botter gourd Fruit borer",Sex pheromone Trap 1 pc/ 2 decimal or Cypermethrin+ Chloropyriphos @ 2ml/L,Mobile Clinic,12.01.25-  Started working as advised
161,06.01.25,Rampal,Gobindapur,Uzalkur,"Bottle gourd, Botter gourd Fruit borer",Sex pheromone Trap 1 pc/ 2 decimal or Cypermethrin+ Chloropyriphos @ 2ml/L,Mobile Clinic,12.01.25-  Started working as advised
162,06.01.25,Rampal,Gobindapur,Uzalkur,"Bottle gourd, Botter gourd leaf borer",Use Ash powder,Mobile Clinic,12.01.25-  Started working as advised
163,06.01.25,Rampal,Gobindapur,Uzalkur,"Bottle gourd, Botter gourd leaf borer",Use Ash powder,Mobile Clinic,12.01.25-  Started working as advised
147,09.12.24,Rampal,Sonatunia,Uzalkur,Bottle gourd attack White fly/ Red pumpkin beetle & Fruit rot.,1.Yellow sticky trap use 2-3/Decimal.2.Emamectin group Insecticide 1gm /1li of water mix & spray.3.Hand / Cross pollination.,Mobile Clinic,12.01.25-  Started working as advised
148,09.12.24,Rampal,Kadamdi,Uzalkur,Bottle gourd attack White fly/ Red pumpkin beetle & Fruit rot.,1.Yellow sticky trap use 2-3/Decimal.2.Emamectin group Insecticide 1gm /1li of water mix & spray.3.Hand / Cross pollination.,Mobile Clinic,12.01.25-  Started working as advised
149,09.12.24,Rampal,Kadamdi,Uzalkur,Bottle gourd attack White fly/ Red pumpkin beetle & Fruit rot.,1.Yellow sticky trap use 2-3/Decimal.2.Emamectin group Insecticide 1gm /1li of water mix & spray.3.Hand / Cross pollination.,Mobile Clinic,12.01.25-  Started working as advised
150,09.12.24,Rampal,Kadamdi,Uzalkur,Bottle gourd attack White fly/ Red pumpkin beetle & Fruit rot.,1.Yellow sticky trap use 2-3/Decimal.2.Emamectin group Insecticide 1gm /1li of water mix & spray.3.Hand / Cross pollination.,Mobile Clinic,12.01.25-  Started working as advised
151,09.12.24,Rampal,Sonatunia,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,12.01.25-  Started working as advised
152,09.12.24,Rampal,Kadamdi,Uzalkur,Bottle gourd attack White fly/ Red pumpkin beetle & Fruit rot.,1.Yellow sticky trap use 2-3/Decimal.2.Emamectin group Insecticide 1gm /1li of water mix & spray.3.Hand / Cross pollination.,Mobile Clinic,12.01.25-  Started working as advised
153,09.12.24,Rampal,Bara Nababpur,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,12.01.25-  Started working as advised
154,09.12.24,Rampal,Bara Nababpur,Uzalkur,Bitter Gourd leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,12.01.25-  Started working as advised
155,09.12.24,Rampal,Bara Nababpur,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,12.01.25-  Started working as advised
156,09.12.24,Rampal,Bara Nababpur,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,12.01.25-  Started working as advised
157,11.12.24,Rampal,Kadamdi,Uzalkur,Bitter Gourd leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,12.01.25-  Started working as advised
158,11.12.24,Rampal,Kadamdi,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,12.01.25-  Started working as advised
159,11.12.24,Rampal,Kadamdi,Uzalkur,Chilli Sapling Managment & Transplanting Advice.,1. Use Sticky trap 2-3 / Per decimal.2. Mancozeb + Metalaxyl 2gm/1 li of water mix &  Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,12.01.25-  Started working as advised
160,11.12.24,Rampal,Kadamdi,Uzalkur,Bitter gourd leaf attack White fly/ Aphid .,1.Yellow sticky trap use 2-3 / Decimal.2. Imidacloroprid 1ml/ 1 li of water mix & spray leaf up and down portion.,Mobile Clinic,12.01.25-  Started working as advised
161,11.12.24,Rampal,Kadamdi,Uzalkur,Chilli leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,12.01.25-  Started working as advised
162,17.12.24,Rampal,Gobindapur,Uzalkur,Tomato leaf Fungal infection & Red mite/White fly attack,1. Use Sticky trap 2-3 / Per decimal.2. Mancozeb + Metalaxyl 2gm/1 li of water mix &  Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,12.01.25-  Started working as advised
163,17.12.24,Rampal,Gobindapur,Uzalkur,Bottle gourd attack White fly/ Red pumpkin beetle & Fruit rot.,1.Yellow sticky trap use 2-3/Decimal.2.Emamectin group Insecticide 1gm /1li of water mix & spray.3.Hand / Cross pollination.,Mobile Clinic,12.01.25-  Started working as advised
164,17.12.24,Rampal,Gobindapur,Uzalkur,Bottle gourd attack White fly/ Red pumpkin beetle & Fruit rot.,1.Yellow sticky trap use 2-3/Decimal.2.Emamectin group Insecticide 1gm /1li of water mix & spray.3.Hand / Cross pollination.,Mobile Clinic,12.01.25-  Started working as advised
165,17.12.24,Rampal,Gobindapur,Uzalkur,Bottle gourd attack White fly/ Red pumpkin beetle & Fruit rot.,1.Yellow sticky trap use 2-3/Decimal.2.Emamectin group Insecticide 1gm /1li of water mix & spray.3.Hand / Cross pollination.,Mobile Clinic,12.01.25-  Started working as advised
166,17.12.24,Rampal,Gobindapur,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,12.01.25-  Started working as advised
167,17.12.24,Rampal,Gobindapur,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,12.01.25-  Started working as advised
168,17.12.24,Rampal,Gobindapur,Uzalkur,Bitter Gourd leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,12.01.25-  Started working as advised
169,17.12.24,Rampal,Gobindapur,Uzalkur,Tomato leaf Curl,Imidachloprid+ Abamectin @ 2ml/L (1+7+14 days interval),Adaptation Clinic,21.01.25-  Started working as advised
170,17.12.24,Rampal,Gobindapur,Uzalkur,Tomato leaf Curl,Imidachloprid+ Abamectin @ 2ml/L (1+7+14 days interval),Adaptation Clinic,21.01.25-  Started working as advised
171,17.12.24,Rampal,Gobindapur,Uzalkur,Tomato leaf Curl,Imidachloprid+ Abamectin @ 2ml/L (1+7+14 days interval),Adaptation Clinic,21.01.25-  Started working as advised
172,17.12.24,Rampal,Gobindapur,Uzalkur,Tomato leaf Curl,Imidachloprid+ Abamectin @ 2ml/L (1+7+14 days interval),Adaptation Clinic,21.01.25-  Started working as advised
173,17.12.24,Rampal,Gobindapur,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,21.01.25-  Started working as advised
174,17.12.24,Rampal,Gobindapur,Uzalkur,Chilli Sapling Managment & Transplanting Advice.,1. Use Sticky trap 2-3 / Per decimal.2. Mancozeb + Metalaxyl 2gm/1 li of water mix &  Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,21.01.25-  Started working as advised
175,17.12.24,Rampal,Gobindapur,Uzalkur,Bitter gourd leaf attack White fly/ Aphid .,1.Yellow sticky trap use 2-3 / Decimal.2. Imidacloroprid 1ml/ 1 li of water mix & spray leaf up and down portion.,Mobile Clinic,21.01.25-  Started working as advised
176,14.01.25,Rampal,Kadamdi,Uzalkur,Chilli leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,21.01.25-  Started working as advised
177,14.01.25,Rampal,Kadamdi,Uzalkur,Tomato leaf Fungal infection & Red mite/White fly attack,1. Use Sticky trap 2-3 / Per decimal.2. Mancozeb + Metalaxyl 2gm/1 li of water mix &  Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,21.01.25-  Started working as advised
178,14.01.25,Rampal,Kadamdi,Uzalkur,Bottle gourd attack White fly/ Red pumpkin beetle & Fruit rot.,1.Yellow sticky trap use 2-3/Decimal.2.Emamectin group Insecticide 1gm /1li of water mix & spray.3.Hand / Cross pollination.,Mobile Clinic,21.01.25-  Started working as advised
179,14.01.25,Rampal,Kadamdi,Uzalkur,Bottle gourd attack White fly/ Red pumpkin beetle & Fruit rot.,1.Yellow sticky trap use 2-3/Decimal.2.Emamectin group Insecticide 1gm /1li of water mix & spray.3.Hand / Cross pollination.,Mobile Clinic,21.01.25-  Started working as advised
180,14.01.25,Rampal,Kadamdi,Uzalkur,Bottle gourd attack White fly/ Red pumpkin beetle & Fruit rot.,1.Yellow sticky trap use 2-3/Decimal.2.Emamectin group Insecticide 1gm /1li of water mix & spray.3.Hand / Cross pollination.,Mobile Clinic,21.01.25-  Started working as advised
176,17.12.24,Rampal,Gobindapur,Uzalkur,Bottle gourd attack White fly/ Red pumpkin beetle & Fruit rot.,1.Yellow sticky trap use 2-3/Decimal.2.Emamectin group Insecticide 1gm /1li of water mix & spray.3.Hand / Cross pollination.,Mobile Clinic,21.01.25-  Started working as advised
177,17.12.24,Rampal,Kadamdi,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,21.01.25-  Started working as advised
178,17.12.24,Rampal,Kadamdi,Uzalkur,Bitter Gourd leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,21.01.25-  Started working as advised
179,14.01.25,Rampal,Kadamdi,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,21.01.25-  Started working as advised
180,14.01.25,Rampal,Kadamdi,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,21.01.25-  Started working as advised
181,14.01.25,Rampal,Kadamdi,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,21.01.25-  Started working as advised
182,14.01.25,Rampal,Kadamdi,Uzalkur,Bitter Gourd leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,21.01.25-  Started working as advised
183,14.01.25,Rampal,Kadamdi,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,21.01.25-  Started working as advised
184,14.01.25,Rampal,Kadamdi,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,21.01.25-  Started working as advised
185,14.01.25,Rampal,Kadamdi,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,21.01.25-  Started working as advised
186,14.01.25,Rampal,Kadamdi,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,21.01.25-  Started working as advised
187,14.01.25,Rampal,Kadamdi,Uzalkur,Tomato leaf Curl,Imidachloprid+ Abamectin @ 2ml/L (1+7+14 days interval),Mobile Clinic,21.01.25-  Started working as advised
179,17.12.24,Rampal,Kadamdi,Uzalkur,Tomato leaf Curl,Imidachloprid+ Abamectin @ 2ml/L (1+7+14 days interval),Mobile Clinic,21.01.25-  Started working as advised
180,17.12.24,Rampal,Kadamdi,Uzalkur,Tomato leaf Curl,Imidachloprid+ Abamectin @ 2ml/L (1+7+14 days interval),Mobile Clinic,22.01.25-  Started working as advised
181,17.12.24,Rampal,Kadamdi,Uzalkur,Tomato leaf Curl,Imidachloprid+ Abamectin @ 2ml/L (1+7+14 days interval),Mobile Clinic,22.01.25-  Started working as advised
182,15.01.25,Rampal,Kadamdi,Uzalkur,Tomato leaf Curl,Imidachloprid+ Abamectin @ 2ml/L (1+7+14 days interval),Mobile Clinic,22.01.25-  Started working as advised
183,15.01.25,Rampal,Kadamdi,Uzalkur,"Tomato, Chili, Bottle gourd Root & shoot rot",Mancozeb+ Metalexil @ 2ml/L,Mobile Clinic,22.01.25-  Started working as advised
182,19.12.24,Rampal,Sonatunia,Uzalkur,"Tomato, Chili, Bottle gourd Root & shoot rot",Mancozeb+ Metalexil @ 2ml/L,Mobile Clinic,22.01.25-  Started working as advised
183,15.01.25,Rampal,Kadamdi,Uzalkur,"Tomato, Chili, Bottle gourd Root & shoot rot",Mancozeb+ Metalexil @ 2ml/L,Mobile Clinic,22.01.25-  Started working as advised
184,15.01.25,Rampal,Kadamdi,Uzalkur,"Tomato, Chili, Bottle gourd Root & shoot rot",Mancozeb+ Metalexil @ 2ml/L,Mobile Clinic,22.01.25-  Started working as advised
183,19.12.24,Rampal,Sonatunia,Uzalkur,"Tomato, Chili, Bottle gourd Root & shoot rot",Mancozeb+ Metalexil @ 2ml/L,Mobile Clinic,22.01.25-  Started working as advised
184,19.12.24,Rampal,Sonatunia,Uzalkur,"Tomato, Chili, Bottle gourd Root & shoot rot",Mancozeb+ Metalexil @ 2ml/L,Mobile Clinic,22.01.25-  Started working as advised
185,19.12.24,Rampal,Sonatunia,Uzalkur,"Bottle gourd, Botter gourd Fruit borer",Sex pheromone Trap 1 pc/ 2 decimal or Cypermethrin+ Chloropyriphos @ 2ml/L,Mobile Clinic,22.01.25-  Started working as advised
186,19.12.24,Rampal,Sonatunia,Uzalkur,"Bottle gourd, Botter gourd Fruit borer",Sex pheromone Trap 1 pc/ 2 decimal or Cypermethrin+ Chloropyriphos @ 2ml/L,Mobile Clinic,22.01.25-  Started working as advised
187,19.12.24,Rampal,Sonatunia,Uzalkur,"Bottle gourd, Botter gourd Fruit borer",Sex pheromone Trap 1 pc/ 2 decimal or Cypermethrin+ Chloropyriphos @ 2ml/L,Mobile Clinic,22.01.25-  Started working as advised
188,19.12.24,Rampal,Sonatunia,Uzalkur,"Bottle gourd, Botter gourd Fruit borer",Sex pheromone Trap 1 pc/ 2 decimal or Cypermethrin+ Chloropyriphos @ 2ml/L,Mobile Clinic,22.01.25-  Started working as advised
189,19.12.24,Rampal,Sonatunia,Uzalkur,"Bottle gourd, Botter gourd leaf borer",Use Ash powder,Mobile Clinic,22.01.25-  Started working as advised
190,19.12.24,Rampal,Sonatunia,Uzalkur,"Bottle gourd, Botter gourd leaf borer",Use Ash powder,Mobile Clinic,22.01.25-  Started working as advised
191,24.12.24,Rampal,Sonatunia,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,22.01.25-  Started working as advised
192,15.01.25,Rampal,Kadamdi,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,22.01.25-  Started working as advised
192,19.12.24,Rampal,Sonatunia,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,22.01.25-  Started working as advised
193,19.12.24,Rampal,Sonatunia,Uzalkur,Bitter Gourd leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,22.01.25-  Started working as advised
194,22.12.24,Rampal,Sonatunia,Uzalkur,Tomato leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,22.01.25-  Started working as advised
195,16.01.25,Rampal,Gobindapur,Uzalkur,Chilli Sapling Managment & Transplanting Advice.,1. Use Sticky trap 2-3 / Per decimal.2. Mancozeb + Metalaxyl 2gm/1 li of water mix &  Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,22.01.25-  Started working as advised
196,16.01.25,Rampal,Gobindapur,Uzalkur,Bitter gourd leaf attack White fly/ Aphid .,1.Yellow sticky trap use 2-3 / Decimal.2. Imidacloroprid 1ml/ 1 li of water mix & spray leaf up and down portion.,Mobile Clinic,22.01.25-  Started working as advised
197,16.01.25,Rampal,Gobindapur,Uzalkur,Chilli leaf Curl,1. Use Sticky trap 2-3 / Per decimal.2. Imidacloroprid group Insecticide 1ml/1li of Water mix & spray leaves up & down portions.,Mobile Clinic,22.01.25-  Started working as advised
